oa_code,a24under,a25to34,a35to49,a50to64,a65over
E00056750,6,23,33,38,41
E00056751,0,14,45,29,22
E00056752,6,38,57,54,45
E00056753,7,12,24,25,73
E00056754,8,20,50,33,20
E00056755,3,16,49,44,38
E00056756,6,20,50,27,23
E00056757,4,18,31,41,26
E00056758,0,17,60,36,18
E00056759,4,20,34,31,15
E00056760,1,15,30,39,30
E00056761,4,17,39,33,26
E00056762,3,35,71,37,38
E00056763,0,19,41,51,27
E00056764,0,4,49,55,31
E00056765,2,23,40,41,50
E00056766,6,27,32,22,66
E00056767,0,1,21,39,58
E00056768,3,15,36,33,36
E00056769,4,27,44,25,20
E00056770,2,8,34,39,43
E00056771,1,12,38,47,33
E00056772,14,26,43,34,34
E00056773,2,19,40,39,23
E00056774,1,2,12,45,38
E00056775,2,12,36,33,36
E00056776,2,10,45,19,65
E00056777,2,14,47,27,33
E00056778,0,3,7,21,11
E00056779,0,3,39,51,45
E00056780,1,2,13,24,36
E00056781,1,15,31,38,44
E00056782,0,13,30,42,49
E00056783,5,19,51,25,17
E00056784,7,28,48,20,13
E00056786,0,24,38,19,69
E00056787,2,6,32,28,22
E00056788,4,16,29,30,30
E00056789,3,13,43,37,68
E00056790,3,21,53,41,65
E00056792,4,24,41,30,28
E00056793,0,9,40,40,33
E00056794,0,3,19,41,49
E00056795,6,26,44,31,31
E00056796,5,17,34,27,34
E00056797,2,13,31,38,28
E00056798,2,8,21,38,39
E00056799,1,15,35,34,33
E00056800,0,10,19,29,42
E00056801,0,10,33,31,34
E00056802,0,1,37,40,44
E00056803,0,8,35,39,33
E00056804,1,10,39,38,26
E00056805,5,17,30,32,48
E00056806,1,8,24,32,50
E00056807,2,6,29,44,27
E00056808,1,3,19,49,25
E00056809,5,20,36,36,41
E00056810,2,10,33,39,24
E00056811,0,5,47,38,37
E00056812,9,24,36,29,49
E00056813,0,4,41,38,31
E00056814,1,23,31,34,27
E00056815,2,33,61,22,14
E00056816,4,16,37,25,66
E00056817,0,5,38,38,57
E00056818,5,28,25,27,13
E00056819,13,15,22,42,47
E00056820,2,22,34,22,33
E00056821,2,5,24,34,31
E00056822,0,15,68,44,21
E00056823,3,19,38,34,42
E00056825,4,10,35,36,24
E00056827,4,20,32,16,21
E00056828,2,9,26,31,26
E00056829,1,15,45,19,28
E00056830,3,28,42,21,30
E00056831,3,12,24,34,35
E00056832,9,20,24,40,30
E00056833,2,15,42,28,8
E00056834,6,28,69,47,19
E00056835,0,12,38,43,43
E00056836,2,17,34,32,36
E00056837,2,8,30,31,28
E00056838,2,16,42,36,22
E00056839,17,35,56,28,22
