oa_code,m24under,m25to34,m35to49,m50to64,m65over,f24under,f25to34,f35to49,f50to64,f65over
E00056750,1,14,23,22,22,5,9,10,16,19
E00056751,0,7,30,23,12,0,7,15,6,10
E00056752,1,19,31,33,18,5,19,26,21,27
E00056753,5,8,15,13,27,2,4,9,12,46
E00056754,5,11,33,20,8,3,9,17,13,12
E00056755,2,7,35,26,13,1,9,14,18,25
E00056756,1,12,26,10,12,5,8,24,17,11
E00056757,1,10,22,24,17,3,8,9,17,9
E00056758,0,14,38,23,11,0,3,22,13,7
E00056759,1,14,20,18,9,3,6,14,13,6
E00056760,1,8,18,23,18,0,7,12,16,12
E00056761,2,11,26,16,15,2,6,13,17,11
E00056762,0,22,49,24,20,3,13,22,13,18
E00056763,0,13,30,30,15,0,6,11,21,12
E00056764,0,3,37,42,15,0,1,12,13,16
E00056765,2,14,27,29,27,0,9,13,12,23
E00056766,3,23,26,12,24,3,4,6,10,42
E00056767,0,0,16,24,32,0,1,5,15,26
E00056768,2,7,23,21,20,1,8,13,12,16
E00056769,0,8,27,13,7,4,19,17,12,13
E00056770,2,3,21,28,20,0,5,13,11,23
E00056771,0,7,28,30,20,1,5,10,17,13
E00056772,7,19,30,21,25,7,7,13,13,9
E00056773,2,11,33,24,14,0,8,7,15,9
E00056774,1,2,10,31,29,0,0,2,14,9
E00056775,1,7,20,20,19,1,5,16,13,17
E00056776,2,6,34,11,18,0,4,11,8,47
E00056777,1,7,31,16,12,1,7,16,11,21
E00056778,0,0,5,12,10,0,3,2,9,1
E00056779,0,2,28,37,26,0,1,11,14,19
E00056780,1,2,11,15,21,0,0,2,9,15
E00056781,0,10,18,17,29,1,5,13,21,15
E00056782,0,7,20,29,27,0,6,10,13,22
E00056783,2,15,38,15,10,3,4,13,10,7
E00056784,7,14,34,13,4,0,14,14,7,9
E00056786,0,10,21,12,20,0,14,17,7,49
E00056787,1,3,16,14,12,1,3,16,14,10
E00056788,1,11,21,17,12,3,5,8,13,18
E00056789,1,5,27,22,26,2,8,16,15,42
E00056790,2,10,40,28,34,1,11,13,13,31
E00056792,3,9,28,15,16,1,15,13,15,12
E00056793,0,7,28,25,14,0,2,12,15,19
E00056794,0,1,13,33,36,0,2,6,8,13
E00056795,4,15,26,19,22,2,11,18,12,9
E00056796,1,5,24,15,16,4,12,10,12,18
E00056797,0,7,22,21,13,2,6,9,17,15
E00056798,1,5,16,22,21,1,3,5,16,18
E00056799,0,8,25,17,13,1,7,10,17,20
E00056800,0,4,15,17,16,0,6,4,12,26
E00056801,0,9,22,17,19,0,1,11,14,15
E00056802,0,1,32,30,29,0,0,5,10,15
E00056803,0,3,21,23,24,0,5,14,16,9
E00056804,1,7,30,28,15,0,3,9,10,11
E00056805,4,9,20,18,18,1,8,10,14,30
E00056806,0,4,14,18,20,1,4,10,14,30
E00056807,1,4,24,29,16,1,2,5,15,11
E00056808,1,1,14,34,19,0,2,5,15,6
E00056809,3,13,28,20,18,2,7,8,16,23
E00056810,0,6,29,19,12,2,4,4,20,12
E00056811,0,4,36,26,29,0,1,11,12,8
E00056812,3,16,24,12,26,6,8,12,17,23
E00056813,0,4,32,30,21,0,0,9,8,10
E00056814,1,9,16,18,11,0,14,15,16,16
E00056815,2,17,37,15,9,0,16,24,7,5
E00056816,1,12,23,16,32,3,4,14,9,34
E00056817,0,4,25,31,29,0,1,13,7,28
E00056818,2,18,17,18,5,3,10,8,9,8
E00056819,8,8,12,22,19,5,7,10,20,28
E00056820,0,16,22,15,16,2,6,12,7,17
E00056821,0,4,9,22,17,2,1,15,12,14
E00056822,0,10,51,31,15,0,5,17,13,6
E00056823,1,11,27,22,22,2,8,11,12,20
E00056825,1,8,21,22,14,3,2,14,14,10
E00056827,0,9,20,11,12,4,11,12,5,9
E00056828,0,5,14,15,18,2,4,12,16,8
E00056829,1,6,29,14,11,0,9,16,5,17
E00056830,2,13,19,12,11,1,15,23,9,19
E00056831,2,8,13,17,23,1,4,11,17,12
E00056832,5,11,14,26,15,4,9,10,14,15
E00056833,0,10,25,16,5,2,5,17,12,3
E00056834,3,13,52,33,14,3,15,17,14,5
E00056835,0,9,28,29,21,0,3,10,14,22
E00056836,0,10,20,24,10,2,7,14,8,26
E00056837,0,4,19,18,19,2,4,11,13,9
E00056838,0,10,30,21,14,2,6,12,15,8
E00056839,5,14,29,16,7,12,21,27,12,15
E00056840,2,14,33,19,15,6,14,18,12,15
E00056841,1,17,30,20,6,6,5,17,15,7
E00056842,0,6,22,28,26,1,4,14,12,12
E00056843,1,9,39,29,13,1,8,17,11,14
E00056845,4,8,21,12,13,5,4,19,13,18
E00056846,8,31,31,31,9,11,19,12,10,5
E00056847,5,25,24,22,22,6,10,19,10,16
E00056848,0,6,19,15,17,3,9,13,12,18
E00056849,0,8,8,16,13,4,13,24,23,23
E00056850,0,14,20,13,6,5,19,19,12,8
E00056851,8,23,27,14,10,9,7,13,9,13
E00056852,4,41,42,14,9,3,16,36,13,19
E00056853,6,16,24,23,13,7,10,10,12,7
E00056854,0,22,16,15,6,4,19,17,9,3
E00056855,1,8,20,15,10,8,14,16,7,7
E00056856,3,15,20,15,7,7,17,18,5,3
E00056858,2,16,28,10,3,5,13,15,10,2
E00056859,5,5,20,11,6,10,10,22,6,5
E00056861,2,10,16,24,15,3,9,22,10,10
E00056862,1,20,22,33,30,4,22,19,18,25
E00056863,2,12,16,15,15,3,7,11,19,21
E00056864,0,12,25,23,29,0,1,10,10,22
E00056865,3,9,24,23,12,2,12,16,13,17
E00056866,1,5,17,25,25,0,1,12,11,25
E00056867,0,22,35,12,7,0,9,16,7,10
E00056868,2,17,24,21,16,1,9,8,14,21
E00056869,2,17,23,24,15,1,11,12,8,20
E00056871,7,9,22,12,6,6,6,12,14,9
E00056873,2,14,32,20,6,1,12,17,10,8
E00056874,4,41,26,19,10,17,34,30,24,15
E00056875,5,24,25,16,7,2,11,10,6,11
E00056876,19,36,50,28,13,18,28,27,8,10
E00056877,3,7,21,16,15,1,2,7,12,28
E00056878,1,10,20,23,11,1,9,15,11,20
E00056879,4,26,22,11,7,4,18,10,17,4
E00056880,4,24,20,13,6,3,11,24,7,8
E00056881,8,22,27,10,9,4,4,12,7,6
E00056882,7,28,29,11,7,10,35,9,7,7
E00056883,0,8,29,35,31,2,5,23,18,24
E00056884,5,25,30,12,7,2,30,18,10,3
E00056885,2,15,24,15,6,3,10,14,9,10
E00056886,0,5,23,21,14,1,3,9,11,14
E00056887,4,20,45,28,14,0,15,17,9,5
E00056888,8,21,23,17,3,11,17,8,3,8
E00056889,16,38,27,8,2,8,23,13,6,3
E00056890,6,25,31,18,7,5,10,13,4,4
E00056891,1,9,14,5,16,4,3,13,8,29
E00056892,4,12,17,15,7,3,8,25,13,7
E00056893,9,23,35,13,4,7,30,16,8,4
E00056894,9,33,41,14,6,6,12,13,11,12
E00056895,0,9,12,16,24,1,5,7,9,33
E00056897,6,20,13,17,3,2,9,17,4,8
E00056898,1,24,25,9,12,4,10,10,5,23
E00056899,5,31,33,18,8,10,10,8,8,12
E00056900,5,13,12,19,8,6,8,9,8,18
E00056901,3,2,21,22,25,1,9,10,15,24
E00056902,4,19,26,9,3,18,17,22,11,0
E00056903,11,22,30,27,10,12,15,16,17,19
E00056904,1,18,13,19,5,3,11,6,9,12
E00056905,1,16,17,12,20,2,7,17,19,17
E00056906,1,9,28,28,14,7,13,15,21,18
E00056907,6,12,32,18,7,5,9,11,9,17
E00056908,2,10,29,13,8,3,4,9,15,8
E00056909,4,49,28,10,1,5,36,22,8,0
E00056910,3,8,16,5,13,2,9,11,15,25
E00056911,3,6,20,21,10,4,8,16,8,11
E00056912,1,20,28,17,10,1,15,12,12,16
E00056913,0,9,32,26,21,2,5,8,14,18
E00056914,2,16,19,22,17,1,8,17,18,11
E00056915,0,18,31,16,19,1,9,13,9,7
E00056916,0,2,4,7,18,1,4,11,10,41
E00056917,1,6,37,19,25,2,6,4,12,13
E00056918,0,4,26,39,27,0,2,10,16,12
E00056919,0,4,8,31,40,0,0,3,11,23
E00056920,0,5,33,33,23,0,3,15,16,16
E00056921,0,11,23,45,16,0,7,11,18,4
