person_id,oac_grp,sex,age_band,number_children,household_income,overseas_airport,uk_airport,satisfaction_overall,age_sex
1,4,f,a24under,1,11-15K,TFS,MAN,3_good,f24under
2,6,m,a25to34,0,61-70K,EFL,DSA,2_fair,m25to34
3,4,f,a50to64,0,41-50K,JTR,MAN,2_fair,f50to64
4,6,m,a50to64,0,Not Answered,ALC,MAN,4_excellent,m50to64
5,5,f,a24under,0,Not Answered,TFS,MAN,2_fair,f24under
6,5,f,a35to49,0,Not Answered,NBE,LBA,1_poor,f35to49
7,7,f,a35to49,0,51-60K,NBE,MAN,4_excellent,f35to49
8,6,f,a35to49,2,Not Answered,MAH,LBA,4_excellent,f35to49
9,5,m,a65over,0,Not Answered,TFS,MAN,3_good,m65over
10,6,m,a50to64,0,Not Answered,FAO,MAN,4_excellent,m50to64
11,5,f,a25to34,2,Not Answered,FAO,MAN,2_fair,f25to34
12,5,f,a35to49,2,81K Plus,SSH,NCL,2_fair,f35to49
13,5,m,a25to34,2,Not Answered,NBE,LBA,4_excellent,m25to34
14,5,m,a25to34,2,41-50K,ZTH,LBA,2_fair,m25to34
15,5,m,a35to49,0,Not Answered,PMI,LGW,1_poor,m35to49
16,2,f,a25to34,0,16-20K,JTR,MAN,1_poor,f25to34
17,2,f,a24under,0,41-50K,RHO,MAN,4_excellent,f24under
18,8,f,a65over,0,Not Answered,ACE,MAN,2_fair,f65over
19,6,f,a35to49,2,21-25K,ACE,MAN,1_poor,f35to49
20,4,f,a50to64,0,Not Answered,ACE,BHX,2_fair,f50to64
21,5,m,a25to34,2,61-70K,PMI,LBA,1_poor,m25to34
22,4,m,a24under,0,Not Answered,ZTH,MAN,1_poor,m24under
23,6,f,a65over,0,Not Answered,NAP,LBA,2_fair,f65over
24,6,m,a65over,0,Not Answered,AGP,MAN,3_good,m65over
25,4,f,a25to34,1,Not Answered,AGP,MAN,2_fair,f25to34
26,5,f,a24under,0,16-20K,HER,MAN,4_excellent,f24under
27,8,m,a24under,0,11-15K,HER,MAN,2_fair,m24under
28,1,m,a50to64,3,81K Plus,PMI,LBA,4_excellent,m50to64
29,7,m,a25to34,2,51-60K,NBE,LBA,4_excellent,m25to34
30,7,m,a25to34,2,41-50K,NBE,MAN,3_good,m25to34
31,8,f,a50to64,0,Not Answered,NBE,EMA,4_excellent,f50to64
32,8,f,a50to64,0,26-30K,NBE,MAN,1_poor,f50to64
33,7,f,a50to64,0,Not Answered,NBE,MAN,1_poor,f50to64
34,4,m,a25to34,0,11-15K,NBE,MAN,2_fair,m25to34
35,6,f,a65over,0,Not Answered,NBE,BHX,2_fair,f65over
36,6,f,a65over,0,26-30K,NBE,MAN,1_poor,f65over
37,6,f,a50to64,0,71-80K,NAP,MAN,4_excellent,f50to64
38,8,m,a50to64,0,Not Answered,IBZ,MAN,3_good,m50to64
39,5,f,a50to64,0,51-60K,IBZ,MAN,1_poor,f50to64
40,6,f,a50to64,2,Not Answered,IBZ,MAN,4_excellent,f50to64
41,6,f,a35to49,2,Not Answered,IBZ,MAN,1_poor,f35to49
42,7,f,a25to34,2,11-15K,IBZ,NCL,1_poor,f25to34
43,8,f,a50to64,0,Not Answered,IBZ,MAN,2_fair,f50to64
44,6,m,a65over,0,21-25K,IBZ,MAN,2_fair,m65over
45,6,m,a50to64,0,16-20K,IBZ,MAN,1_poor,m50to64
46,6,m,a65over,0,Not Answered,IBZ,NCL,1_poor,m65over
47,6,m,a25to34,1,Not Answered,IBZ,MAN,3_good,m25to34
48,6,f,a65over,0,Not Answered,IBZ,MAN,2_fair,f65over
49,6,f,a35to49,0,61-70K,PMI,MAN,2_fair,f35to49
50,5,m,a50to64,0,Not Answered,PMI,MAN,4_excellent,m50to64
51,5,m,a65over,0,Not Answered,PMI,MAN,1_poor,m65over
52,5,m,a65over,0,Not Answered,PMI,MAN,1_poor,m65over
53,5,m,a50to64,0,Not Answered,PMI,MAN,1_poor,m50to64
54,8,m,a65over,0,Not Answered,PMI,MAN,1_poor,m65over
55,5,m,a65over,0,Not Answered,PMI,MAN,1_poor,m65over
56,8,m,a65over,0,Not Answered,PMI,MAN,1_poor,m65over
57,8,m,a65over,0,Not Answered,PMI,MAN,4_excellent,m65over
58,5,m,a25to34,0,Not Answered,SSH,MAN,3_good,m25to34
59,8,m,a24under,0,26-30K,SSH,LGW,1_poor,m24under
60,4,f,a35to49,0,Not Answered,SSH,MAN,1_poor,f35to49
61,5,f,a25to34,0,41-50K,POP,MAN,4_excellent,f25to34
62,6,m,a65over,0,Not Answered,POP,LBA,1_poor,m65over
63,8,f,a25to34,2,26-30K,FAO,LBA,2_fair,f25to34
64,5,m,a25to34,0,61-70K,FAO,LBA,3_good,m25to34
65,5,f,a35to49,1,Not Answered,ALC,MAN,1_poor,f35to49
66,4,m,a24under,0,21-25K,PMI,MAN,3_good,m24under
67,4,f,a50to64,0,Not Answered,SKG,MAN,4_excellent,f50to64
68,7,f,a65over,0,Not Answered,SKG,MAN,1_poor,f65over
69,6,m,a50to64,0,16-20K,FNC,LBA,2_fair,m50to64
70,6,f,a65over,0,Not Answered,FNC,MAN,1_poor,f65over
71,4,m,a35to49,1,Not Answered,MAH,MAN,3_good,m35to49
72,6,m,a50to64,0,Not Answered,MAH,MAN,4_excellent,m50to64
73,6,f,a65over,0,Not Answered,MAH,MAN,3_good,f65over
74,6,m,a65over,0,Not Answered,MAH,LBA,4_excellent,m65over
75,8,m,a50to64,0,11-15K,MAH,MAN,2_fair,m50to64
76,5,m,a50to64,1,26-30K,MAH,LBA,4_excellent,m50to64
77,5,f,a50to64,1,Not Answered,MAH,MAN,2_fair,f50to64
78,4,m,a24under,1,21-25K,MAH,MAN,1_poor,m24under
79,4,f,a24under,1,21-25K,MAH,MAN,1_poor,f24under
80,5,f,a50to64,0,Not Answered,MAH,GLA,2_fair,f50to64
81,7,m,a35to49,0,26-30K,MAH,LBA,3_good,m35to49
82,6,f,a50to64,0,0-10K,MAH,MAN,3_good,f50to64
83,5,m,a50to64,0,Not Answered,TFS,DSA,1_poor,m50to64
84,6,f,a50to64,0,Not Answered,TFS,MAN,1_poor,f50to64
85,8,f,a35to49,1,Not Answered,TFS,MAN,4_excellent,f35to49
86,5,f,a35to49,0,Not Answered,TFS,LBA,2_fair,f35to49
87,5,m,a65over,0,0-10K,TFS,MAN,1_poor,m65over
88,5,f,a25to34,2,61-70K,TFS,MAN,1_poor,f25to34
89,8,m,a25to34,1,41-50K,TFS,MAN,4_excellent,m25to34
90,1,m,a65over,0,Not Answered,TFS,MAN,4_excellent,m65over
91,6,m,a50to64,1,41-50K,FAO,LBA,1_poor,m50to64
92,5,m,a65over,0,Not Answered,FAO,MAN,3_good,m65over
93,8,f,a65over,2,Not Answered,MAH,MAN,3_good,f65over
94,8,f,a35to49,3,Not Answered,MAH,MAN,1_poor,f35to49
95,8,f,a35to49,3,Not Answered,MAH,MAN,2_fair,f35to49
96,6,m,a65over,0,Not Answered,MAH,NCL,1_poor,m65over
97,6,f,a65over,0,Not Answered,MAH,MAN,3_good,f65over
98,8,m,a35to49,2,Not Answered,MAH,MAN,2_fair,m35to49
99,6,m,a65over,2,51-60K,MAH,MAN,2_fair,m65over
100,5,m,a35to49,2,31-35K,MAH,LBA,4_excellent,m35to49
101,1,m,a65over,0,21-25K,MAH,MAN,2_fair,m65over
102,5,f,a35to49,2,Not Answered,MAH,MAN,4_excellent,f35to49
103,5,f,a25to34,0,51-60K,HRG,MAN,3_good,f25to34
104,7,f,a50to64,0,Not Answered,EFL,LBA,3_good,f50to64
105,8,f,a24under,0,Not Answered,BOJ,MAN,3_good,f24under
106,8,f,a50to64,0,Not Answered,CUN,MAN,2_fair,f50to64
107,6,f,a24under,0,61-70K,CUN,MAN,4_excellent,f24under
108,6,f,a35to49,2,51-60K,SFB,MAN,1_poor,f35to49
109,5,f,a35to49,0,81K Plus,TFS,MAN,2_fair,f35to49
110,6,m,a35to49,2,Not Answered,PMI,MAN,2_fair,m35to49
111,6,m,a35to49,2,36-40K,PMI,MAN,3_good,m35to49
112,6,f,a50to64,0,Not Answered,SKG,MAN,2_fair,f50to64
113,4,f,a25to34,0,61-70K,HRG,MAN,3_good,f25to34
114,5,f,a50to64,0,Not Answered,TFS,MAN,1_poor,f50to64
115,6,f,a50to64,0,Not Answered,AGP,MAN,3_good,f50to64
116,5,m,a65over,0,Not Answered,SFB,MAN,4_excellent,m65over
117,6,f,a35to49,0,Not Answered,RHO,LBA,1_poor,f35to49
118,5,f,a50to64,0,Not Answered,RHO,LBA,4_excellent,f50to64
119,1,m,a50to64,0,Not Answered,LEI,MAN,1_poor,m50to64
120,5,m,a25to34,1,71-80K,LEI,LBA,4_excellent,m25to34
121,5,m,a25to34,1,41-50K,LEI,MAN,1_poor,m25to34
122,8,m,a24under,0,36-40K,LEI,EMA,1_poor,m24under
123,5,m,a65over,0,Not Answered,PMI,MAN,2_fair,m65over
124,5,f,a65over,0,Not Answered,PMI,MAN,2_fair,f65over
125,5,f,a65over,0,Not Answered,TFS,MAN,1_poor,f65over
126,6,f,a65over,0,Not Answered,SSH,LBA,2_fair,f65over
127,6,f,a65over,0,11-15K,SSH,MAN,3_good,f65over
128,7,f,a35to49,0,21-25K,SSH,LGW,1_poor,f35to49
129,7,m,a50to64,0,21-25K,SSH,BHX,4_excellent,m50to64
130,4,m,a50to64,0,Not Answered,SSH,LBA,1_poor,m50to64
131,5,m,a25to34,0,41-50K,SSH,LBA,4_excellent,m25to34
132,6,m,a50to64,0,Not Answered,SSH,MAN,1_poor,m50to64
133,5,m,a35to49,0,26-30K,SSH,MAN,4_excellent,m35to49
134,5,f,a50to64,0,Not Answered,SSH,LBA,2_fair,f50to64
135,5,f,a50to64,0,61-70K,SSH,MAN,1_poor,f50to64
136,5,m,a50to64,0,Not Answered,SSH,MAN,2_fair,m50to64
137,4,f,a65over,0,Not Answered,SSH,MAN,2_fair,f65over
138,5,m,a50to64,0,41-50K,SSH,NCL,1_poor,m50to64
139,5,f,a65over,0,Not Answered,MAH,MAN,1_poor,f65over
140,8,f,a65over,0,Not Answered,MAH,MAN,2_fair,f65over
141,8,m,a65over,0,Not Answered,MAH,BRS,3_good,m65over
142,6,f,a35to49,0,36-40K,MAH,MAN,1_poor,f35to49
143,6,m,a35to49,0,36-40K,MAH,MAN,4_excellent,m35to49
144,6,m,a50to64,0,Not Answered,MAH,EMA,3_good,m50to64
145,8,m,a65over,0,Not Answered,MAH,MAN,3_good,m65over
146,6,m,a65over,0,0-10K,TFS,MAN,3_good,m65over
147,4,m,a35to49,0,36-40K,ZTH,DSA,4_excellent,m35to49
148,8,f,a35to49,0,21-25K,BVC,LBA,1_poor,f35to49
149,6,m,a50to64,0,Not Answered,BVC,MAN,3_good,m50to64
150,6,m,a35to49,0,81K Plus,BVC,EMA,4_excellent,m35to49
151,6,m,a35to49,0,Not Answered,BVC,LBA,2_fair,m35to49
152,7,f,a50to64,0,Not Answered,CUN,DSA,2_fair,f50to64
153,7,f,a35to49,0,Not Answered,EFL,MAN,1_poor,f35to49
154,6,f,a65over,0,Not Answered,EFL,MAN,1_poor,f65over
155,6,m,a65over,0,Not Answered,EFL,MAN,2_fair,m65over
156,6,m,a35to49,0,71-80K,CUN,MAN,4_excellent,m35to49
157,8,f,a25to34,0,36-40K,CUN,MAN,3_good,f25to34
158,5,m,a50to64,0,Not Answered,KGS,LBA,4_excellent,m50to64
159,5,f,a25to34,2,Not Answered,KGS,LBA,4_excellent,f25to34
160,5,m,a35to49,0,Not Answered,TCP,LBA,4_excellent,m35to49
161,2,f,a24under,0,41-50K,PMI,MAN,2_fair,f24under
162,8,f,a50to64,0,Not Answered,NAP,LBA,1_poor,f50to64
163,5,m,a65over,0,Not Answered,NAP,MAN,1_poor,m65over
164,5,f,a65over,0,Not Answered,NAP,MAN,4_excellent,f65over
165,2,f,a25to34,0,81K Plus,NAP,LBA,2_fair,f25to34
166,6,f,a24under,0,41-50K,ZTH,DSA,2_fair,f24under
167,6,m,a65over,0,Not Answered,CTA,LBA,4_excellent,m65over
168,5,m,a25to34,0,36-40K,FUE,LBA,3_good,m25to34
169,1,f,a35to49,0,51-60K,FUE,LBA,2_fair,f35to49
170,6,m,a50to64,0,31-35K,LPA,MAN,2_fair,m50to64
171,5,f,a35to49,3,11-15K,SKG,MAN,1_poor,f35to49
172,6,f,a24under,0,Not Answered,PMI,MAN,4_excellent,f24under
173,6,m,a35to49,0,Not Answered,PMI,NCL,2_fair,m35to49
174,4,f,a65over,0,21-25K,DBV,LBA,2_fair,f65over
175,4,f,a50to64,0,Not Answered,DBV,MAN,1_poor,f50to64
176,5,f,a50to64,1,41-50K,DLM,MAN,4_excellent,f50to64
177,5,m,a65over,0,Not Answered,DLM,LBA,3_good,m65over
178,5,m,a65over,0,36-40K,DLM,MAN,4_excellent,m65over
179,8,m,a50to64,0,Not Answered,DLM,MAN,1_poor,m50to64
180,7,m,a50to64,0,Not Answered,DLM,MAN,1_poor,m50to64
181,6,m,a65over,0,41-50K,SFB,MAN,3_good,m65over
182,4,m,a50to64,0,Not Answered,MAH,MAN,2_fair,m50to64
183,8,m,a25to34,3,31-35K,MAH,MAN,4_excellent,m25to34
184,6,m,a65over,0,Not Answered,MAH,MAN,2_fair,m65over
185,8,f,a25to34,2,61-70K,MAH,LBA,2_fair,f25to34
186,5,f,a25to34,1,31-35K,MAH,MAN,2_fair,f25to34
187,8,f,a65over,0,Not Answered,MAH,EMA,2_fair,f65over
188,5,f,a35to49,4,31-35K,RHO,NCL,1_poor,f35to49
189,6,m,a65over,0,Not Answered,PMI,DSA,4_excellent,m65over
190,5,m,a50to64,0,Not Answered,PMI,MAN,1_poor,m50to64
191,6,m,a65over,0,Not Answered,PMI,MAN,2_fair,m65over
192,6,f,a50to64,0,Not Answered,PMI,MAN,1_poor,f50to64
193,5,f,a65over,0,Not Answered,PMI,LBA,1_poor,f65over
194,8,m,a25to34,3,31-35K,SSH,NCL,4_excellent,m25to34
195,5,f,a50to64,0,Not Answered,CFU,MAN,3_good,f50to64
196,1,m,a50to64,0,Not Answered,CFU,MAN,2_fair,m50to64
197,1,f,a50to64,0,71-80K,CFU,LBA,4_excellent,f50to64
198,5,f,a65over,0,Not Answered,CFU,MAN,3_good,f65over
199,8,m,a65over,0,Not Answered,CFU,MAN,1_poor,m65over
200,5,m,a65over,0,Not Answered,CFU,MAN,1_poor,m65over
201,6,f,a50to64,0,Not Answered,CFU,MAN,2_fair,f50to64
202,6,m,a50to64,0,Not Answered,CFU,LBA,1_poor,m50to64
203,6,m,a35to49,2,Not Answered,IBZ,MAN,1_poor,m35to49
204,5,m,a35to49,1,61-70K,IBZ,MAN,4_excellent,m35to49
205,6,m,a35to49,2,Not Answered,IBZ,LBA,4_excellent,m35to49
206,4,f,a35to49,3,16-20K,REU,MAN,2_fair,f35to49
207,8,f,a25to34,0,Not Answered,REU,MAN,3_good,f25to34
208,6,m,a50to64,0,Not Answered,REU,LBA,2_fair,m50to64
209,6,f,a25to34,2,41-50K,BJV,MAN,3_good,f25to34
210,8,m,a35to49,2,26-30K,AGP,MAN,2_fair,m35to49
211,1,m,a50to64,1,51-60K,ALC,MAN,2_fair,m50to64
212,1,m,a65over,0,Not Answered,NAP,DSA,4_excellent,m65over
213,5,f,a65over,0,16-20K,NAP,MAN,2_fair,f65over
214,1,f,a65over,0,Not Answered,NAP,DSA,3_good,f65over
215,8,f,a25to34,3,Not Answered,GRO,MAN,2_fair,f25to34
216,6,m,a25to34,2,Not Answered,GRO,MAN,2_fair,m25to34
217,6,m,a50to64,2,11-15K,GRO,MAN,2_fair,m50to64
218,6,m,a50to64,0,16-20K,PMI,EMA,4_excellent,m50to64
219,7,f,a25to34,0,26-30K,VRA,LBA,3_good,f25to34
220,8,f,a65over,0,11-15K,DLM,MAN,4_excellent,f65over
221,6,f,a50to64,0,Not Answered,DLM,MAN,4_excellent,f50to64
222,7,m,a25to34,0,61-70K,DLM,MAN,2_fair,m25to34
223,8,m,a24under,2,Not Answered,DLM,MAN,1_poor,m24under
224,6,m,a65over,0,16-20K,DLM,LBA,1_poor,m65over
225,6,m,a65over,0,26-30K,DLM,MAN,4_excellent,m65over
226,1,m,a24under,2,16-20K,DLM,MAN,1_poor,m24under
227,6,m,a50to64,0,11-15K,LPA,LBA,3_good,m50to64
228,6,f,a35to49,2,Not Answered,DLM,MAN,2_fair,f35to49
229,5,m,a35to49,2,Not Answered,DLM,LBA,2_fair,m35to49
230,3,f,a35to49,1,51-60K,DLM,MAN,4_excellent,f35to49
231,3,m,a24under,1,Not Answered,DLM,MAN,2_fair,m24under
232,4,m,a50to64,0,Not Answered,DLM,MAN,2_fair,m50to64
233,2,f,a24under,0,Not Answered,DLM,LBA,1_poor,f24under
234,8,m,a50to64,0,26-30K,DLM,MAN,2_fair,m50to64
235,6,m,a24under,0,21-25K,SSH,MAN,3_good,m24under
236,7,m,a50to64,0,Not Answered,SSH,LBA,3_good,m50to64
237,8,m,a25to34,1,71-80K,VCE,MAN,2_fair,m25to34
238,6,f,a50to64,0,Not Answered,IBZ,MAN,4_excellent,f50to64
239,6,m,a24under,0,81K Plus,IBZ,LBA,3_good,m24under
240,7,f,a35to49,1,Not Answered,HRG,MAN,3_good,f35to49
241,6,f,a65over,0,Not Answered,HRG,DSA,1_poor,f65over
242,4,f,a35to49,2,Not Answered,HRG,MAN,4_excellent,f35to49
243,6,m,a65over,0,26-30K,RMF,MAN,4_excellent,m65over
244,4,m,a65over,0,16-20K,RMF,MAN,4_excellent,m65over
245,4,m,a25to34,2,Not Answered,PMI,LBA,4_excellent,m25to34
246,8,m,a35to49,0,Not Answered,PMI,DSA,4_excellent,m35to49
247,6,m,a50to64,0,Not Answered,PMI,MAN,2_fair,m50to64
248,5,m,a65over,0,Not Answered,PMI,MAN,2_fair,m65over
249,7,m,a50to64,1,Not Answered,PMI,MAN,1_poor,m50to64
250,7,f,a25to34,0,Not Answered,PMI,MAN,4_excellent,f25to34
