airport_code,airport_name,airport_city,airport_country
AUA,Reina Beatrix,Aruba,Aruba
BGI,Grantley Adams Intl,Bridgetown,Barbados
BOJ,Bourgas,Bourgas,Bulgaria
BVC,Rabil,Boa Vista,Cape Verde
SID,Amilcar Cabral Intl,Sal,Cape Verde
DBV,Dubrovnik,Dubrovnik,Croatia (Hrvatska)
PUY,Pula,Pula,Croatia (hrvatska)
VRA,Juan Gualberto Gomez,Varadero,Cuba
HOG,Frank Pais,Holguin,Cuba
SNU,Santa Clara,Santa Clara,Cuba
CCC,Cayo Coco,Cayo Coco,Cuba
PFO,International,Paphos,Cyprus
LCA,Larnaca,Larnaca,Cyprus
POP,La Union,Puerto Plata,Dominican Republic
PUJ,Punta Cana,Punta Cana,Dominican Republic
AZS,Samaná El Catey ,Samaná ,Dominican Republic
SSH,Ophira,Sharm El Sheikh,Egypt
HRG,Hurghada,Hurghada,Egypt
TCP,Taba International,Taba,Egypt
RMF,Marsa Alam,Marsa Alam,Egypt
LXR,Luxor,Luxor,Egypt
BJL,Yundum International,Banjul,Gambia
EFL,Argostolion,Kefallinia,Greece
JTR,Thira,Thira,Greece
ZTH,Zakinthos Is,Zakinthos Is,Greece
RHO,Diagoras Airport,Rhodes,Greece
HER,N. Kazantzakis Apt.,Heraklion,Greece
SKG,Thessaloniki International Airport 'Makedonia',Thessaloniki,Greece
KGS,Kos,Kos,Greece
CFU,I. Kapodistrias,Kerkyra,Greece
JSI,Skiathos,Skiathos,Greece
PVK,Aktion,Preveza/Lefkas,Greece
KVA,Megas Alexandros Apt.,Kavala,Greece
CHQ,Souda,Chania,Greece
SMI,Samos,Samos,Greece
KLX,Kalamata,Kalamata,Greece
GOI,Dabolim,Goa,India
NAP,Capodichino,Naples,Italy
CTA,Fontanarossa,Catania,Italy
VCE,Marco Polo,Venice,Italy
PSA,Galileo Galilei,Pisa,Italy
AHO,Fertilia,Alghero,Italy
MBJ,Sangster International,Montego Bay,Jamaica
MBA,Moi International,Mombasa,Kenya
MLE,International,Male,Maldives
MLA,Malta International,Gudja,Malta
CUN,Cancun,Cancun,Mexico
RAK,Menara,Marrakech,Morocco
AGA,Agadir Almassira,Agadir,Morocco
FAO,Faro,Faro,Portugal
FNC,Madeira,Madeira,Portugal
PXO,Porto Santo,Porto Santo,Portugal
TFS,Sur Reina Sofia,Tenerife,Spain
ALC,Alicante,Alicante,Spain
MAH,Menorca,Menorca,Spain
PMI,Palma Mallorca,Palma Mallorca,Spain
ACE,Lanzarote,Lanzarote,Spain
AGP,Malaga,Malaga,Spain
IBZ,Ibiza,Ibiza,Spain
LEI,Almeria,Almeria,Spain
FUE,Fuerteventura,Puerto del Rosario,Spain
LPA,Arpt De Gran Canaria,Las Palmas,Spain
REU,Reus,Reus,Spain
GRO,Costa Brava,Gerona,Spain
XRY,Jerez De La Frontera,Jerez De La Frontera,Spain
SPC,La Palma,Santa Cruz De La Palma,Spain
NBE,Enfidha–Hammamet International Airport,Enfidha,Tunisia
DJE,Djerba-Zarzis,Djerba,Tunisia
DLM,Dalaman,Dalaman,Turkey
BJV,Milas Airport,Bodrum.,Turkey
ADB,Adnan Menderes Arpt,Izmir,Turkey
AYT,Antalya,Antalya,Turkey
SFB,Orlando Sanford Intl,Orlando,United States
LAS,Mccarran Intl,Las Vegas,United States
MCO,International,Orlando,United States
MAN,Manchester,Manchester,United Kingdom
STN,Stansted,London,United Kingdom
NCL,Newcastle Airport,Newcastle,United Kingdom
LBA,Leeds/Bradford,Leeds,United Kingdom
DSA,Robin Hood International,Doncaster,United Kingdom
EMA,Nottingham E. Midlands,Nottingham,United Kingdom
LTN,Luton Airport,London,United Kingdom
LGW,Gatwick,London,United Kingdom
EDI,Turnhouse,Edinburgh,United Kingdom
BHX,Birmingham International,Birmingham,United Kingdom
NWI,Norwich Arpt,Norwich,United Kingdom
BOH,Bournemouth International,Bournemouth,United Kingdom
GLA,Glasgow International,Glasgow,United Kingdom
BRS,Bristol,Bristol,United Kingdom
MME,Durham Tees Valley,Durham Tees Valley,United Kingdom
CWL,Cardiff-wales Arpt,Cardiff,United Kingdom
EXT,Exeter,Exeter,United Kingdom
BFS,Belfast Aldergrove International,Belfast,United Kingdom
