oa_code,1,2,3,4,5,6,7,8
E00056750,0,0,0,0,0,0,0,141
E00056751,0,0,0,0,0,110,0,0
E00056752,0,0,0,0,200,0,0,0
E00056753,0,0,0,0,0,0,141,0
E00056754,0,0,0,0,131,0,0,0
E00056755,0,0,0,0,150,0,0,0
E00056756,0,0,0,0,0,0,0,126
E00056757,0,0,0,0,0,120,0,0
E00056758,0,0,0,0,0,131,0,0
E00056759,0,0,0,0,0,104,0,0
E00056760,0,0,0,0,115,0,0,0
E00056761,0,0,0,0,119,0,0,0
E00056762,0,0,0,0,184,0,0,0
E00056763,0,0,0,0,0,138,0,0
E00056764,0,0,0,0,0,139,0,0
E00056765,0,0,0,0,156,0,0,0
E00056766,0,0,0,0,0,0,153,0
E00056767,0,0,0,0,0,119,0,0
E00056768,0,0,0,0,0,0,0,123
E00056769,0,0,0,0,0,0,120,0
E00056770,0,0,0,0,0,0,0,126
E00056771,0,0,0,0,0,0,0,131
E00056772,0,0,0,0,0,151,0,0
E00056773,0,0,0,0,0,123,0,0
E00056774,98,0,0,0,0,0,0,0
E00056775,0,0,0,0,119,0,0,0
E00056776,0,0,0,0,141,0,0,0
E00056777,0,0,0,0,0,0,0,123
E00056778,42,0,0,0,0,0,0,0
E00056779,0,0,0,0,0,138,0,0
E00056780,76,0,0,0,0,0,0,0
E00056781,0,0,0,0,0,0,0,129
E00056782,0,0,0,0,134,0,0,0
E00056783,0,0,0,0,117,0,0,0
E00056784,0,0,0,0,116,0,0,0
E00056786,0,0,0,0,150,0,0,0
E00056787,0,0,0,0,0,0,0,90
E00056788,0,0,0,0,0,0,109,0
E00056789,0,0,0,0,0,0,164,0
E00056790,0,0,0,0,183,0,0,0
E00056792,0,0,0,0,0,0,0,127
E00056793,0,0,0,0,0,122,0,0
E00056794,0,0,0,0,0,112,0,0
E00056795,0,0,0,0,0,0,138,0
E00056796,0,0,0,0,0,0,117,0
E00056797,0,0,0,0,112,0,0,0
E00056798,0,0,0,0,0,108,0,0
E00056799,0,0,0,0,0,0,0,118
E00056800,0,0,0,0,100,0,0,0
E00056801,0,0,0,0,108,0,0,0
E00056802,0,0,0,0,0,122,0,0
E00056803,0,0,0,0,0,0,0,115
E00056804,0,0,0,0,0,114,0,0
E00056805,0,0,0,0,0,0,0,132
E00056806,0,0,0,0,0,0,0,115
E00056807,0,0,0,0,0,108,0,0
E00056808,0,0,0,0,0,97,0,0
E00056809,0,0,0,0,0,0,0,138
E00056810,0,0,0,0,0,0,0,108
E00056811,0,0,0,0,0,127,0,0
E00056812,0,0,0,0,147,0,0,0
E00056813,0,0,0,0,0,114,0,0
E00056814,0,0,0,0,0,0,0,116
E00056815,0,0,0,0,132,0,0,0
E00056816,0,0,0,0,0,0,148,0
E00056817,0,0,0,0,0,138,0,0
E00056818,0,0,0,0,98,0,0,0
E00056819,0,0,0,0,0,0,139,0
E00056820,0,0,0,0,113,0,0,0
E00056821,0,0,0,0,0,96,0,0
E00056822,0,0,0,0,0,148,0,0
E00056823,0,0,0,0,136,0,0,0
E00056825,0,0,0,0,109,0,0,0
E00056827,0,0,0,0,0,0,0,93
E00056828,0,0,0,0,0,94,0,0
E00056829,0,0,0,0,0,0,0,108
E00056830,0,0,0,0,0,0,0,124
E00056831,0,0,0,0,0,108,0,0
E00056832,0,0,0,0,123,0,0,0
E00056833,0,0,0,0,0,95,0,0
E00056834,0,0,0,0,169,0,0,0
E00056835,0,0,0,0,0,136,0,0
E00056836,0,0,0,0,121,0,0,0
E00056837,0,0,0,0,99,0,0,0
E00056838,0,0,0,0,118,0,0,0
E00056839,0,0,0,158,0,0,0,0
E00056840,0,0,0,0,0,0,148,0
E00056841,0,0,0,0,124,0,0,0
E00056842,0,0,0,0,0,125,0,0
E00056843,0,0,0,0,142,0,0,0
E00056845,0,0,0,0,0,0,0,117
E00056846,0,0,0,167,0,0,0,0
E00056847,0,0,0,159,0,0,0,0
E00056848,0,0,0,112,0,0,0,0
E00056849,0,0,0,132,0,0,0,0
E00056850,0,0,0,0,0,0,0,116
E00056851,0,0,0,133,0,0,0,0
E00056852,0,0,0,197,0,0,0,0
E00056853,0,0,0,0,0,0,0,128
E00056854,0,0,0,0,0,0,0,111
E00056855,0,0,0,0,0,0,106,0
E00056856,0,0,0,0,110,0,0,0
E00056858,0,0,0,0,0,0,0,104
E00056859,0,0,0,0,0,0,100,0
E00056861,0,0,0,0,121,0,0,0
E00056862,0,0,0,0,194,0,0,0
E00056863,0,0,0,0,121,0,0,0
E00056864,0,0,0,0,132,0,0,0
E00056865,0,0,0,0,0,0,0,131
E00056866,0,0,0,0,0,122,0,0
E00056867,0,0,0,0,118,0,0,0
E00056868,0,0,0,0,133,0,0,0
E00056869,0,0,0,0,133,0,0,0
E00056871,0,0,0,0,0,0,103,0
E00056873,0,0,0,0,0,0,0,122
E00056874,0,0,0,220,0,0,0,0
E00056875,0,0,0,117,0,0,0,0
E00056876,0,0,0,237,0,0,0,0
E00056877,0,0,0,0,112,0,0,0
E00056878,0,0,0,0,121,0,0,0
E00056879,0,0,0,0,123,0,0,0
E00056880,0,0,0,120,0,0,0,0
E00056881,0,0,0,0,0,0,109,0
E00056882,0,150,0,0,0,0,0,0
E00056883,0,0,0,0,0,0,175,0
E00056884,0,0,0,142,0,0,0,0
E00056885,0,0,0,108,0,0,0,0
E00056886,0,0,0,0,0,0,101,0
E00056887,0,0,0,0,157,0,0,0
E00056888,0,0,0,0,0,0,119,0
E00056889,0,0,0,144,0,0,0,0
E00056890,0,0,0,0,123,0,0,0
E00056891,0,0,0,102,0,0,0,0
E00056892,0,0,0,111,0,0,0,0
E00056893,0,0,0,149,0,0,0,0
E00056894,0,0,0,157,0,0,0,0
E00056895,0,0,0,0,0,0,116,0
E00056897,0,0,0,99,0,0,0,0
E00056898,0,0,0,123,0,0,0,0
E00056899,0,0,0,143,0,0,0,0
E00056900,0,0,106,0,0,0,0,0
E00056901,0,0,0,0,0,0,132,0
E00056902,0,0,0,129,0,0,0,0
E00056903,0,0,0,179,0,0,0,0
E00056904,0,0,0,0,97,0,0,0
E00056905,0,0,0,0,128,0,0,0
E00056906,0,0,0,0,0,0,154,0
E00056907,0,0,0,0,0,0,126,0
E00056908,0,0,0,0,0,0,101,0
E00056909,0,0,0,163,0,0,0,0
E00056910,0,0,0,0,0,0,107,0
E00056911,0,0,0,0,0,0,107,0
E00056912,0,0,0,0,0,0,0,132
E00056913,0,0,0,0,0,135,0,0
E00056914,0,0,0,0,0,0,0,131
E00056915,0,0,0,0,0,123,0,0
E00056916,0,0,0,0,0,0,98,0
E00056917,0,0,0,0,0,125,0,0
E00056918,0,0,0,0,0,136,0,0
E00056919,0,0,0,0,0,120,0,0
E00056920,0,0,0,0,0,144,0,0
E00056921,0,0,0,0,0,135,0,0
