oa_code,m,f
E00056750,82,59
E00056751,72,38
E00056752,102,98
E00056753,68,73
E00056754,77,54
E00056755,83,67
E00056756,61,65
E00056757,74,46
E00056758,86,45
E00056759,62,42
E00056760,68,47
E00056761,70,49
E00056762,115,69
E00056763,88,50
E00056764,97,42
E00056765,99,57
E00056766,88,65
E00056767,72,47
E00056768,73,50
E00056769,55,65
E00056770,74,52
E00056771,85,46
E00056772,102,49
E00056773,84,39
E00056774,73,25
E00056775,67,52
E00056776,71,70
E00056777,67,56
E00056778,27,15
E00056779,93,45
E00056780,50,26
E00056781,74,55
E00056782,83,51
E00056783,80,37
E00056784,72,44
E00056786,63,87
E00056787,46,44
E00056788,62,47
E00056789,81,83
E00056790,114,69
E00056792,71,56
E00056793,74,48
E00056794,83,29
E00056795,86,52
E00056796,61,56
E00056797,63,49
E00056798,65,43
E00056799,63,55
E00056800,52,48
E00056801,67,41
E00056802,92,30
E00056803,71,44
E00056804,81,33
E00056805,69,63
E00056806,56,59
E00056807,74,34
E00056808,69,28
E00056809,82,56
E00056810,66,42
E00056811,95,32
E00056812,81,66
E00056813,87,27
E00056814,55,61
E00056815,80,52
E00056816,84,64
E00056817,89,49
E00056818,60,38
E00056819,69,70
E00056820,69,44
E00056821,52,44
E00056822,107,41
E00056823,83,53
E00056825,66,43
E00056827,52,41
E00056828,52,42
E00056829,61,47
E00056830,57,67
E00056831,63,45
E00056832,71,52
E00056833,56,39
E00056834,115,54
E00056835,87,49
E00056836,64,57
E00056837,60,39
E00056838,75,43
E00056839,71,87
E00056840,83,65
E00056841,74,50
E00056842,82,43
E00056843,91,51
E00056845,58,59
E00056846,110,57
E00056847,98,61
E00056848,57,55
E00056849,45,87
E00056850,53,63
E00056851,82,51
E00056852,110,87
E00056853,82,46
E00056854,59,52
E00056855,54,52
E00056856,60,50
E00056858,59,45
E00056859,47,53
E00056861,67,54
E00056862,106,88
E00056863,60,61
E00056864,89,43
E00056865,71,60
E00056866,73,49
E00056867,76,42
E00056868,80,53
E00056869,81,52
E00056871,56,47
E00056873,74,48
E00056874,100,120
E00056875,77,40
E00056876,146,91
E00056877,62,50
E00056878,65,56
E00056879,70,53
E00056880,67,53
E00056881,76,33
E00056882,82,68
E00056883,103,72
E00056884,79,63
E00056885,62,46
E00056886,63,38
E00056887,111,46
E00056888,72,47
E00056889,91,53
E00056890,87,36
E00056891,45,57
E00056892,55,56
E00056893,84,65
E00056894,103,54
E00056895,61,55
E00056897,59,40
E00056898,71,52
E00056899,95,48
E00056900,57,49
E00056901,73,59
E00056902,61,68
E00056903,100,79
E00056904,56,41
E00056905,66,62
E00056906,80,74
E00056907,75,51
E00056908,62,39
E00056909,92,71
E00056910,45,62
E00056911,60,47
E00056912,76,56
E00056913,88,47
E00056914,76,55
E00056915,84,39
E00056916,31,67
E00056917,88,37
E00056918,96,40
E00056919,83,37
E00056920,94,50
E00056921,95,40
E00056922,76,48
E00056923,86,41
E00056924,76,52
E00056925,65,58
E00056926,49,69
E00056927,102,60
E00056928,80,42
E00056929,79,56
E00056930,60,63
E00056931,96,26
E00056932,82,39
E00056933,67,58
E00056934,79,33
E00056935,57,44
E00056936,75,44
E00056937,38,44
E00056938,75,51
E00056939,87,56
E00056940,80,45
E00056941,99,57
E00056942,92,44
E00056943,83,50
E00056944,81,40
E00056945,63,49
E00056946,91,56
E00056947,83,50
E00056948,93,36
E00056949,52,43
E00056950,74,51
E00056951,82,47
E00056952,83,45
E00056953,76,49
E00056954,72,51
E00056955,81,45
E00056956,74,51
E00056957,62,60
E00056958,88,54
E00056959,52,26
E00056960,110,65
E00056961,83,52
E00056962,89,56
E00056963,108,73
E00056964,77,55
E00056965,71,67
E00056966,72,68
E00056967,35,49
E00056968,119,28
E00056969,69,33
E00056970,92,34
E00056971,55,42
E00056972,40,21
E00056973,55,12
E00056974,88,56
E00056975,100,56
E00056976,126,49
E00056977,61,27
E00056978,73,71
E00056979,82,52
E00056981,80,48
E00056982,82,52
E00056983,85,42
E00056984,61,77
E00056985,79,38
E00056986,66,56
E00056987,82,46
E00056988,63,68
E00056989,71,55
E00056990,61,53
E00056991,97,51
E00056992,47,88
E00056993,85,49
E00056994,84,39
E00056995,70,54
E00056997,76,52
E00056998,122,68
E00056999,75,48
E00057000,48,59
E00057001,87,58
E00057002,66,43
E00057003,76,55
E00057004,51,39
E00057005,49,64
E00057006,68,48
E00057007,76,54
E00057008,67,31
E00057009,76,67
E00057010,58,40
E00057011,106,82
E00057012,67,74
E00057013,38,36
E00057014,95,44
E00057015,74,64
E00057016,73,67
E00057017,89,36
E00057018,61,50
E00057019,93,54
E00057020,88,58
E00057021,79,45
E00057022,65,60
E00057023,88,53
E00057024,83,70
E00057025,67,53
E00057026,86,39
E00057027,112,43
E00057028,68,57
E00057029,94,59
E00057030,115,42
E00057031,69,51
E00057032,67,80
E00057033,94,53
E00057034,115,86
E00057035,88,41
E00057036,83,54
E00057037,65,68
E00057038,66,72
E00057039,77,53
E00057040,71,44
E00057041,63,50
E00057042,64,50
E00057043,65,62
E00057044,71,47
E00057045,61,63
E00057046,73,44
E00057047,70,41
E00057048,61,75
E00057049,60,71
E00057050,80,52
E00057051,116,99
E00057052,69,75
E00057053,46,51
E00057054,81,36
E00057055,68,58
E00057056,63,56
E00057057,68,43
E00057058,72,46
E00057059,46,44
E00057060,73,32
E00057062,75,53
E00057063,55,57
E00057064,40,60
E00057065,68,43
E00057066,89,95
E00057067,117,86
E00057068,58,59
E00057069,73,51
E00057070,62,36
E00057071,64,48
E00057072,60,29
E00057073,82,46
E00057074,63,52
E00057075,87,52
E00057076,40,57
E00057077,73,47
E00057078,59,49
E00057079,62,55
E00057080,53,59
E00057081,56,51
E00057082,49,53
E00057083,60,55
E00057084,63,60
E00057085,62,60
E00057086,63,37
E00057087,78,48
E00057088,61,58
E00057089,65,56
E00057090,57,68
E00057091,81,68
E00057092,57,65
E00057093,70,62
E00057094,79,33
E00057095,44,61
E00057096,58,58
E00057097,64,43
E00057098,61,48
E00057099,74,54
E00057100,64,46
E00057101,70,43
E00057102,56,47
E00057103,48,35
E00057104,58,82
E00057105,55,43
E00057106,54,64
E00057107,67,51
E00057108,69,38
E00057109,46,59
E00057110,80,78
E00057111,81,47
E00057112,62,54
E00057113,62,49
E00057114,74,51
E00057115,58,47
E00057116,83,47
E00057117,67,45
E00057118,73,48
E00057119,62,50
E00057120,46,70
E00057121,63,45
E00057122,80,63
E00057123,72,46
E00057124,92,57
E00057125,64,58
E00057126,57,68
E00057127,64,64
E00057128,70,44
E00057129,53,50
E00057130,60,80
E00057131,60,69
E00057132,56,63
E00057133,69,66
E00057134,71,58
E00057135,77,56
E00057136,83,50
E00057137,55,65
E00057138,62,79
E00057139,89,40
E00057140,83,56
E00057141,77,51
E00057142,25,49
E00057144,38,60
E00057145,77,91
E00057146,71,58
E00057147,43,81
E00057148,76,57
E00057149,58,71
E00057150,60,52
E00057151,66,82
E00057152,40,33
E00057153,77,87
E00057154,62,64
E00057155,69,68
E00057156,73,57
E00057157,68,69
E00057158,59,73
E00057159,47,60
E00057160,58,64
E00057161,67,63
E00057162,58,57
E00057163,63,64
E00057164,69,69
E00057165,59,52
E00057166,57,78
E00057167,67,65
E00057169,122,61
E00057170,121,84
E00057171,92,75
E00057172,93,62
E00057173,81,77
E00057175,126,76
E00057176,44,49
E00057177,131,52
E00057178,81,70
E00057179,123,101
E00057180,47,43
E00057181,68,71
E00057182,95,41
E00057183,68,44
E00057184,46,34
E00057185,52,50
E00057186,76,54
E00057187,95,58
E00057188,65,60
E00057189,82,75
E00057190,65,59
E00057191,56,59
E00057192,68,65
E00057193,55,39
E00057194,56,57
E00057195,81,56
E00057196,55,45
E00057197,61,55
E00057198,92,68
E00057199,44,92
E00057200,63,99
E00057202,67,83
E00057204,95,118
E00057205,96,58
E00057206,59,65
E00057207,70,62
E00057208,101,76
E00057209,65,52
E00057210,95,88
E00057211,76,77
E00057212,88,54
E00057213,109,65
E00057214,47,66
E00057215,69,53
E00057216,64,86
E00057217,62,87
E00057218,72,71
E00057220,86,106
E00057221,97,72
E00057222,113,109
E00057223,81,95
E00057225,116,49
E00057226,57,97
E00057227,99,72
E00057228,104,71
E00057229,70,59
E00057230,70,76
E00057231,106,66
E00057232,109,89
E00057233,55,69
E00057234,61,63
E00057235,65,75
E00057236,76,53
E00057238,96,75
E00057239,71,50
E00057240,51,64
E00057241,82,55
E00057242,35,67
E00057244,133,87
E00057245,60,84
E00057246,79,49
E00057247,70,64
E00057248,65,67
E00057249,67,51
E00057250,53,62
E00057251,72,62
E00057252,81,64
E00057253,89,60
E00057254,105,64
E00057255,95,78
E00057256,78,27
E00057257,45,59
E00057258,69,51
E00057259,33,40
E00057261,61,50
E00057262,96,60
E00057264,113,37
E00057265,76,88
E00057266,84,42
E00057267,107,42
E00057268,40,41
E00057269,44,27
E00057270,59,70
E00057271,53,40
E00057272,56,69
E00057273,82,49
E00057274,73,61
E00057275,54,35
E00057276,83,60
E00057277,56,47
E00057278,56,50
E00057280,58,24
E00057281,83,51
E00057282,59,56
E00057283,59,33
E00057284,83,28
E00057285,110,56
E00057286,52,34
E00057287,125,29
E00057288,54,46
E00057289,77,41
E00057290,96,43
E00057291,76,32
E00057292,62,40
E00057293,89,44
E00057294,68,28
E00057295,66,74
E00057296,100,44
E00057297,32,19
E00057298,78,44
E00057300,135,53
E00057303,53,50
E00057304,58,64
E00057305,46,55
E00057307,42,37
E00057309,103,60
E00057310,58,78
E00057311,39,32
E00057312,81,68
E00057313,145,49
E00057315,71,44
E00057316,78,61
E00057321,138,97
E00057322,89,43
E00057323,94,63
E00057325,73,78
E00057326,48,28
E00057327,59,22
E00057328,88,59
E00057329,95,36
E00057330,62,52
E00057331,47,40
E00057332,57,37
E00057333,100,49
E00057334,76,40
E00057335,80,46
E00057336,92,38
E00057337,78,50
E00057338,70,57
E00057339,74,67
E00057340,63,61
E00057341,90,42
E00057342,69,50
E00057343,80,70
E00057344,70,56
E00057345,78,41
E00057346,73,62
E00057347,54,49
E00057348,67,50
E00057349,100,48
E00057350,67,30
E00057351,51,47
E00057352,82,55
E00057353,86,33
E00057354,75,35
E00057355,72,44
E00057356,57,54
E00057357,75,61
E00057358,57,34
E00057359,72,26
E00057360,96,53
E00057361,83,35
E00057362,54,32
E00057363,72,68
E00057364,70,52
E00057365,59,41
E00057366,68,59
E00057367,75,37
E00057368,67,50
E00057369,60,54
E00057370,93,52
E00057371,65,53
E00057372,90,38
E00057374,73,60
E00057375,89,51
E00057376,76,53
E00057377,64,68
E00057378,88,38
E00057379,90,51
E00057380,79,40
E00057382,81,46
E00057383,61,55
E00057384,76,52
E00057385,59,76
E00057386,72,47
E00057387,57,54
E00057388,53,71
E00057389,71,53
E00057390,79,59
E00057391,60,62
